num_people_enrolled,total_class_size,class_number,term
276,374,COMPSCI 189,2017 Fall
471,500,COMPSCI 189,2017 Spring
319,368,COMPSCI 189,2018 Spring
215,244,COMPSCI 189,2018 Fall
682,681,COMPSCI 189,Spring 2019
254,387,COMPSCI 189,2019 Fall
0,1,COMPSCI 189,Spring 2019
57,90,COMPSCI C191,2017 Spring
0,0,COMPSCI C191,Spring 2019
16,16,COMPSCI 194,2016 Fall
9,30,COMPSCI 194,2016 Fall
109,116,COMPSCI 194,2018 Spring
12,20,COMPSCI 194,2017 Spring
11,20,COMPSCI 194,2017 Spring
84,92,COMPSCI 194,2017 Fall
37,40,COMPSCI 194,2016 Fall
95,95,COMPSCI 194,2016 Fall
141,141,COMPSCI 194,2017 Fall
157,157,COMPSCI 194,2018 Fall
16,30,COMPSCI 194,2018 Spring
18,25,COMPSCI 194,Spring 2019
21,22,COMPSCI 194,2017 Spring
0,60,COMPSCI 194,2017 Fall
30,40,COMPSCI 194,2018 Fall
29,35,COMPSCI 194,2017 Fall
38,45,COMPSCI 194,Spring 2019
90,98,COMPSCI 194,2019 Fall
224,237,COMPSCI 195,2016 Fall
291,320,COMPSCI 195,2017 Fall
215,250,COMPSCI 195,2017 Spring
233,250,COMPSCI 195,2018 Spring
249,250,COMPSCI 195,2018 Fall
352,408,COMPSCI 195,Spring 2019
246,292,COMPSCI 195,2019 Fall
1,999,COMPSCI H196A,2016 Fall
1,999,COMPSCI H196A,2016 Fall
7,999,COMPSCI 197,2016 Fall
16,200,COMPSCI 197,2018 Fall
4,50,COMPSCI 197,Spring 2019
10,250,COMPSCI 197,Spring 2019
83,98,COMPSCI 198,2016 Fall
9,24,COMPSCI 198,2016 Fall
24,30,COMPSCI 198,2016 Fall
62,98,COMPSCI 198,2017 Fall
9,24,COMPSCI 198,2017 Fall
15,30,COMPSCI 198,2017 Fall
73,90,COMPSCI 198,2017 Spring
8,24,COMPSCI 198,2017 Spring
19,49,COMPSCI 198,2017 Spring
35,40,COMPSCI 198,2017 Fall
13,24,COMPSCI 198,2018 Spring
78,65,COMPSCI 198,2018 Spring
25,40,COMPSCI 198,2018 Spring
71,80,COMPSCI 198,2018 Fall
17,24,COMPSCI 198,2018 Fall
72,80,COMPSCI 198,2018 Fall
17,40,COMPSCI 198,2018 Fall
58,80,COMPSCI 198,Spring 2019
20,40,COMPSCI 198,Spring 2019
21,24,COMPSCI 198,Spring 2019
24,24,COMPSCI 198,2019 Fall
76,80,COMPSCI 198,2019 Fall
17,35,COMPSCI 198,2019 Fall
27,98,COMPSCI 198,2017 Spring
1,30,COMPSCI 198,2017 Spring
19,30,COMPSCI 198,2016 Fall
28,49,COMPSCI 198,2017 Spring
24,30,COMPSCI 198,2017 Fall
30,40,COMPSCI 198,2018 Spring
21,40,COMPSCI 198,Spring 2019
24,35,COMPSCI 198,2019 Fall
0,35,COMPSCI 198,2018 Fall
96,98,COMPSCI 198,2016 Fall
75,98,COMPSCI 198,2018 Spring
59,130,COMPSCI 198,2018 Fall
29,60,COMPSCI 198,2019 Fall
10,30,COMPSCI 198,2016 Fall
10,30,COMPSCI 198,2017 Spring
25,30,COMPSCI 198,2017 Fall
15,30,COMPSCI 198,2016 Fall
19,30,COMPSCI 198,2017 Spring
16,30,COMPSCI 198,2017 Fall
16,45,COMPSCI 198,Spring 2019
101,120,COMPSCI 198,2016 Fall
111,120,COMPSCI 198,2017 Spring
75,84,COMPSCI 198,2017 Fall
81,100,COMPSCI 198,2018 Spring
100,120,COMPSCI 198,2018 Fall
40,50,COMPSCI 198,2016 Fall
39,50,COMPSCI 198,2017 Fall
50,60,COMPSCI 198,2017 Spring
23,50,COMPSCI 198,2018 Fall
28,28,COMPSCI 198,2016 Fall
35,40,COMPSCI 198,2017 Spring
43,30,COMPSCI 198,2018 Spring
26,30,COMPSCI 198,2019 Fall
17,32,COMPSCI 198,2016 Fall
18,40,COMPSCI 198,2017 Spring
30,30,COMPSCI 198,2018 Spring
20,25,COMPSCI 198,2019 Fall
31,45,COMPSCI 198,2016 Fall
41,49,COMPSCI 198,2017 Spring
34,45,COMPSCI 198,2016 Fall
55,80,COMPSCI 198,2017 Spring
26,35,COMPSCI 198,2016 Fall
19,35,COMPSCI 198,2016 Fall
43,50,COMPSCI 198,2017 Spring
33,50,COMPSCI 198,2018 Spring
48,52,COMPSCI 198,2018 Fall
22,35,COMPSCI 198,2017 Spring
8,5,COMPSCI 198,2016 Fall
14,35,COMPSCI 198,2017 Spring
15,35,COMPSCI 198,2017 Spring
21,50,COMPSCI 198,2017 Fall
20,50,COMPSCI 198,2018 Spring
25,30,COMPSCI 198,2018 Fall
16,70,COMPSCI 198,Spring 2019
19,28,COMPSCI 198,2019 Fall
54,60,COMPSCI 198,2017 Spring
7,25,COMPSCI 198,2017 Spring
15,60,COMPSCI 198,2017 Fall
13,60,COMPSCI 198,2018 Fall
11,60,COMPSCI 198,2019 Fall
103,140,COMPSCI 198,2017 Fall
82,146,COMPSCI 198,2018 Spring
140,149,COMPSCI 198,2017 Spring
40,65,COMPSCI 198,2018 Fall
55,100,COMPSCI 198,Spring 2019
44,56,COMPSCI 198,2019 Fall
28,50,COMPSCI 198,2017 Fall
30,40,COMPSCI 198,2018 Spring
33,45,COMPSCI 198,2018 Fall
41,48,COMPSCI 198,2017 Fall
75,98,COMPSCI 198,2018 Spring
51,75,COMPSCI 198,2017 Fall
102,160,COMPSCI 198,2018 Spring
65,100,COMPSCI 198,2018 Fall
50,98,COMPSCI 198,2019 Fall
52,75,COMPSCI 198,2017 Fall
24,35,COMPSCI 198,2017 Fall
12,40,COMPSCI 198,2018 Spring
20,20,COMPSCI 198,2017 Fall
20,20,COMPSCI 198,2018 Spring
18,20,COMPSCI 198,2018 Fall
13,20,COMPSCI 198,Spring 2019
15,30,COMPSCI 198,2019 Fall
16,19,COMPSCI 198,2017 Fall
23,28,COMPSCI 198,2018 Fall
12,19,COMPSCI 198,2017 Fall
12,25,COMPSCI 198,2018 Fall
14,25,COMPSCI 198,2018 Fall
16,20,COMPSCI 198,Spring 2019
17,30,COMPSCI 198,2019 Fall
29,61,COMPSCI 198,2017 Fall
123,206,COMPSCI 198,2017 Fall
106,200,COMPSCI 198,2018 Spring
124,206,COMPSCI 198,2018 Fall
62,216,COMPSCI 198,Spring 2019
25,1,COMPSCI 198,2017 Fall
25,32,COMPSCI 198,2018 Spring
